时间,标题,url,内容
2018-08-26 12:54:01,格物生物完成数千万元天使轮融资,http://pe.pedaily.cn/201808/435042.shtml,格物生物完成数千万元天使轮融资，投资方为禾益汇资本和米益资本。同时格物生物将正式启动IPO相关筹备工作。成立于2016年6月的格物生物是一家经营大健康项目的科技公司，总部位于广州天河区，在新零售模式下打造中国益生菌品牌，围绕产业链的研发和营销两大核心环节。目前，格物生物主要产品为21DAYS益生菌（固体饮料）。（投资界）
2018-08-24 18:19:13,波奇与瑞派宠物战略合作，打造宠物健康管理新模式,,36氪讯，宠物一站式服务平台波奇今日与瑞派宠物医院管理股份有限公司在第21届亚洲宠物展上正式达成“战略合作协议”。此次战略合作涵盖五大方面，包括双方会员互享权益与共享增值服务，新零售合作模式的落地，供应链合作，联合品牌推广、宠物公益合作等。
2018-08-24 13:24:33,钉钉发春雨计划扶持生态伙伴，七机构投资逾10亿,https://tech.sina.com.cn/i/2018-08-24/doc-ihicsiaw2959984.shtml,在阿里巴巴DING峰会上，钉钉发布新零售、医疗、地产、教育、餐饮五大行业解决方案，同时启动“春雨计划”。春雨计划重点扶持钉钉生态中优秀的应用开发者和服务者，以推动中国企业在云与移动时代实现智能移动办公方式。七家资本机构已经响应，将投入总计逾10亿元人民币的扶持资金，共同赋能企业服务生态。（新浪）
2018-08-24 07:32:24,阿里CEO张勇：将竭尽所能赢下本地生活服务的竞争,http://tech.ifeng.com/a/20180823/45137126_0.shtml,阿里集团CEO张勇表示，本地生活服务市场是一个非常重要的领域，阿里将竭尽所能赢得这场战斗。阿里不仅会投入资金，还会投入技术等资源，帮助口碑和饿了么在本地生活市场占据重要的市场份额和地位。同时，饿了么的大规模即时配送网络，也将与阿里的新零售业务发生化学反应，阿里正在努力整合这张网络，以增强阿里经济体的粘性，提高长期运作的效率。（凤凰科技）
2018-08-23 19:15:23,阿里巴巴：年度活跃消费者增至5.76亿，新零售业务同比增长340%,,36氪讯，阿里巴巴2019财年第一季度财报显示：阿里巴巴年度活跃消费者增至5.76亿，连续4季度净增超两千万。天猫实物GMV同比增长34%，本季度新零售（包括盒马鲜生、银泰百货等）业务收入增长超过340%；
2018-08-23 17:09:12,菜鸟与重庆战略合作，将建新零售订单中心等,https://tech.sina.com.cn/i/2018-08-23/doc-ihicsiav6484184.shtml,菜鸟今日宣布IoT战略将落地重庆，并与重庆巴南签署合作协议，将在当地打造国家智能物流骨干网又一节点项目。据悉，国家智能骨干网菜鸟巴南项目将建设新零售订单生产中心、物流大数据信息平台、新零售供应链金融服务中心、新零售实验平台等。（新浪）
2018-08-23 08:41:40,天猫汽车、汽车超人、康众成立新公司 ，组建汽服新零售支撑体系,,36氪讯，天猫宣布，天猫汽车将与金固股份旗下汽车养护领军平台汽车超人、汽配供应链龙头服务商康众汽配，共同成立汽车后市场新公司，组建汽服新零售支撑体系。阿里巴巴为新公司第一大股东，汽车超人为第二大股东。
2018-08-21 21:57:02,2018Q2外卖市场增速放缓，饿了么新零售业务环比增长45%,,36氪获悉，艾媒咨询今日发布《2018上半年中国在线外卖市场研究报告》，数据显示，上半年在线外卖市场交易额超过1250亿元，预计全年交易规模为2430亿元，环比增长放缓至18.4%。其中，饿了么新零售业务交易额第二季度环比增幅达到45%，高于整体外卖市场水平。
2018-08-21 12:03:56,阿里巴巴健康股票上涨13%,,36氪讯，阿里巴巴健康信息技术有限公司股份随着香港基准指数的上涨，截至12：02，报7.74港元，涨13%，超过自6月1日以来的全日涨幅。此前消息称，该公司将试水医药新零售。
2018-08-20 14:32:36,尼尔森：新零售拉动一线城市消费模式转变,https://www.yicai.com/news/100013260.html,8月20日尼尔森发布的2018年第二季度中国消费者信心指数报告显示，一线城市对新零售的认知度较高，并拉动消费模式的转变。一线城市中听说过和去过新零售商店的消费者占比分别为54%和33%，其中去过店里的消费者远高于二线城市和三线城市（均为25%）。其中，42%的消费者认为消费更便捷、35%的消费者认为这替代了传统零售方式。（第一财经）
2018-08-20 11:26:20,菜鸟在杭州上线白天30分钟、夜间1小时内送药上门,,36氪讯，菜鸟和阿里健康共同宣布，将在杭州上线24小时在线买药30分钟送药上门服务，夜间不打烊，1小时内送达。同时联合东仁堂大药房、海王星辰健康药房、九洲大药房和天天好大药房等多家连锁药房，以及如家、君庭等连锁酒店合作伙伴，在杭州试水全链路打通的医药新零售。
2018-08-19 13:32:54,把美妆顾问培养成网红，欧莱雅也想做“新零售”,http://www.linkshop.com.cn/web/archives/2018/408208.shtml,欧莱雅与天猫美妆、中国初创公司美ONE去年达成合作，筛选出200位专柜BA进行培训、让其成为淘宝上的博主。目前，“BA网红化”项目已进行到第二期。今年2月，欧莱雅公布的中国市场2017年年度业绩显示，电商占据销售额的27%，预计后续占比会达到1/3。(联商网)
2018-08-17 17:59:27,饿了么进军线下便利店,https://finance.qq.com/a/20180817/043868.htm,自多位便利店业内人士处确认，饿了么已与国内一家便利店数字化运营商达成初步新零售合作协议，就继续提高全国便利店网络“1小时达”整体配送能力展开深度合作。双方有望在近期宣布正式签署合作协议。（腾讯一线）
2018-08-17 07:16:36,阿里巴巴与上海达成战略合作,,36氪讯，8月16日，阿里巴巴集团、蚂蚁金服集团与上海市政府签署战略合作协议。阿里巴巴将为上海输出云计算、大数据、物联网等方面的自主研发能力，并推动长三角新零售、智慧物流、环境治理等领域的发展，促进上海全球科技创新中心建设，有效带动上海乃至长三角新经济的健康成长。
2018-08-16 14:20:29,盒马鲜生与保利展开新零售合作,http://tech.huanqiu.com/internet/2018-08/12734329.html,8月16日，位于广州市越秀区保利中环广场的盒马鲜生会员店正式开业。保利商业地产相关负责人说，“跟盒马3公里范围内最快30分钟免费配送服务的覆盖半径一致，盒马的定位是社区生活服务中心，保利想打造社区型购物中心，双方的目标也都是瞄准社区消费人群，未来会有许多深入合作的想象空间。”（环球网）
2018-08-14 13:22:42,朗然资本：咖啡新零售可以分成四种模式,http://www.linkshop.com.cn/web/archives/2018/407706.shtml,朗然资本认为，零售模式取决于目标消费者的定位和满足方式，而不是商品本身，即使是一瓶矿泉水，都可能有多种新零售模式。结合消费者在金钱和时间上的不同需求，咖啡新零售模式分成四种模式：碎片生活型、高性价比型、跨界引流型、极致体验型。这四种模式更符合风投的投资逻辑。（联商网）
2018-08-13 20:01:08,新零售纸巾「初纸」获数千万元 A 轮融资,https://36kr.com/p/5148285.html,36氪获悉，近日新零售纸巾品牌「初纸」宣布完成数千万元A轮融资，由水滴石基金领投、苏迈特智能科技跟投、部分老股东追加投资。初纸从新零售纸巾切入，做线下流量+数字化媒体综合服务。据官方数据，初纸累计用户量达2000万，全国机柜数量达5000台，遍及上海、北京、武汉等30余座城市的商圈、餐饮店集中区域。
2018-08-13 11:29:20,阿里巴巴第二个亲橙里项目或落地贵阳,http://www.ebrun.com/20180813/291623.shtml?eb=com_chan_lcol_fylb,继今年在杭州开出首个线下购物中心“亲橙里”后，阿里巴巴第二个亲橙里项目有望落户贵阳云岩。据云岩区政府公示的信息显示，年年6月以来，区域已开展赴省外招商活动12次，重点在谈深圳阿里巴巴集团亲橙里新零售项目等10个涉及大数据、大健康、人工智能、现代服务业等新兴业态的外出招商项目。（联商网）
2018-08-13 09:16:05,新零售品牌地球港宣布完成Pre-A轮融资,https://www.iyiou.com/p/78987,新零售品牌“地球港”近日完成了Pre-A轮融资。本轮融资由新龙脉资本领投，估值达10亿元。本轮融资后，地球港将超速布局“未来零售”，持续多维度发力。（亿欧）
2018-08-10 11:24:45,人工智能计算机视觉解决方案提供商Yi+获亿元级B+轮融资,,"36氪获悉，人工智能计算机视觉解决方案提供商Yi+获亿元级B+轮融资，投资方为中关村发展集团、中关村银行等。Yi+AI服务众多世界500强的数亿用户，提供""营销+AI""、""智能硬件+AI""、“新零售”、“智慧城市”等解决方案。"
2018-08-09 15:48:14,宇培供应链计划2021年底在全球建成58个冷链园区,,36氪获悉，宇培供应链集团宣布与美团集团新零售业务“小象生鲜”在冷链供应链服务领域开展深度合作。宇培供应链COO李荣栋表示，2018年公司已实现运营冷链园区共22个，园区面积总计达45万平米。到2021年底，计划在全球建成58个冷链园区，面积达158万平米，同时打造国内最大的冷链供应链S2B生态服务云平台。
2018-08-08 17:25:58,阿里启动“88VIP”会员计划,,36氪讯，阿里巴巴集团今日在广州宣布“88VIP”全新会员计划。近一年内在淘宝、天猫等阿里零售平台有过消费行为的用户，都会自动成为88会员，每个会员会对应不同的淘气值。据悉，若超级会员的淘气值满1000，可以只用88元获得这张“88VIP”。经初步计算，贯穿阿里全生态权益的“88VIP”价值近2000元。据介绍，“88VIP”将成为阿里新零售生态、多重会员身份融为一体的“一卡通”。
2018-08-06 15:31:34,胖虎奢侈品与阿里拍卖合作开设线下智慧店,,36氪讯，胖虎奢侈品与阿里拍卖共同打造了北京线下奢侈品拍卖智慧旗舰店。胖虎奢侈品是全国最大的奢侈品新零售服务平台，在经营理念上契合阿里拍卖智慧店铺倡导的零售+互联网+大数据+人工智能概念。
2018-08-06 11:17:32,饿了么CEO：阿里资源注入4个月，和美团的一仗不可能输,http://36kr.com/p/5146672.html,36氪讯，在被问到饿了么与美团的胶着状态是否会持续时，饿了么CEO王磊表示：“这个涉及到对方会怎么做，我没法做预测，但阿里在本地生活这一仗是不可能输的，这不是阿里能允许的事情。”王磊称，饿了么已经开始在流量端、会员端、供给端跟阿里有了比较多的对接，此外，饿了么已经开始给阿里的新零售提供即时配送的物流服务，包括盒马、星巴克。
2018-08-06 08:42:11,AI初创公司「天壤智能」完成1.8亿元A轮融资,http://36kr.com/p/5146625.html,36氪获悉，国内AI初创公司天壤智能宣布完成1.8亿元A轮融资，由招银国际和高榕资本共同领投，紫牛基金和挖财科技跟投。天壤智能成立于2016年6月，由前阿里云资深总监、阿里妈妈首席数据科学家薛贵荣创办，搭建了完整的深度强化学习平台，已将AI技术应用于商业营销、城市交通领域，形成了天钻电商、天壤新零售等多款人工智能产品。
2018-08-05 18:33:46,阿里巴巴调动线上线下零售资源，在首届进口博览会推新零售,https://www.jfdaily.com/news/detail?id=98946,天猫国际表示，阿里巴巴将为中国首届进口博览会提供云服务，同时计划调动天猫、菜鸟网络、盒马、银泰、百联、大润发等生态圈内企业资源，将进博会的影响力从国家会展中心延伸到实体零售门店，实现进口商品与新零售衔接。（上观新闻）
2018-08-04 13:49:46,饿了么股权变动完成：张旭豪职务不变，法人代表换为王磊,http://tech.qq.com/a/20180804/013388.htm,8月2日，饿了么更新了其股权信息。据企查查显示，饿了么原股东邓高潮、张旭豪、汪渊、康嘉等退出，新任股东为杭州阿里巴巴创业投资管理有限公司，饿了么的法人代表由张旭豪变更为王磊。张旭豪目前仍担任饿了么董事长，并兼任阿里巴巴集团CEO张勇的新零售战略特别助理。（界面）
2018-08-03 08:04:38,“慧远科技”获数百万元Pre-A轮融资,https://36kr.com/p/5146226.html,36氪获悉，新零售大数据运营服务商「慧远科技」已完成数百万元Pre-A轮融资，由华旦资本领投，多牛资本和企朋股份跟投。据悉，本轮融资资金将用于市场、研发、团队等方面的投入。
2018-08-02 15:10:28,瑞幸回应星巴克阿里合作:传统零售+外卖不等于新零售,https://tech.sina.com.cn/i/2018-08-02/doc-ihhehtqf6126307.shtml,星巴克今日宣布与阿里合作，将由饿了么为星巴克提供外卖服务。瑞幸咖啡方面对此回应称，传统零售即使增加了外卖、移动支付，但根本商业模式其实没有变化，不一定是新零售。（新浪）
2018-08-02 09:38:30,阿里巴巴和星巴克达成新零售战略全面合作，将全面打通会员体系,,36氪讯，今日，星巴克与阿里巴巴宣布将达成新零售战略全面合作，会员体系将全面打通。消费者可以在淘宝、天猫、支付宝、饿了么、盒马和星巴克自己的应用中任一访问“星巴克新零售智慧门店”，享受同等权益和同样服务。同时，星巴克将依托饿了么配送体系上线外送服务。此外，星巴克还会和盒马共创首家品牌外送厨房“外送星厨”。
2018-08-02 07:37:14,业内预计2022年新零售市场规模将达1.8万亿,http://www.xinhuanet.com/fortune/2018-08/02/c_1123210174.htm,日前从北京、上海、天津、杭州、武汉、成都等地获悉，上半年，新零售快速发展，正在整合线上线下资源和优势，聚集成新的发展动能，带动消费显著增长。业内普遍认为，消费升级促进了新零售的崛起。有市场分析预测，未来数年新零售将保持年复合增长率超过100%的高速增长，2022年整体市场规模将达1.8万亿元，从而成为消费持续增长的重要推动力。（经参）
2018-08-01 18:34:12,盒马鲜生2.0版即将在深圳出现，将实现大店向小店发展,http://kuaixun.stcn.com/2018/0731/14417954.shtml,阿里云新零售商超行业总经理李冰表示，盒马鲜生一般开店3个月，线上订单就会超过线下。商超实现新零售的关键在于数字化能力，盒马鲜生全流程已经实现数字化，实现全渠道覆盖，全业务共享和全数据融合。盒马鲜生2.0版很快将在深圳出现，未来还会有3.0，实现大店向小店发展。（证券时报）
2018-08-01 17:57:36,饿了么获手机淘宝首页入口，加快融入阿里新零售生态,,36氪讯，手机淘宝App首页的“外卖”入口今日切换为“饿了么外卖”。饿了么成为手淘首页10个默认入口之一，标志着其再次加快融入阿里新零售生态的步伐。饿了么产品负责人透露，入口切换后，双方将进一步在会员体系、营销系统等板块打通，手淘用户将能使用饿了么红包等优惠，同时会员服务也将升级为饿了么超级会员。
2018-08-01 07:01:08,阿里正为饿了么寻求30亿美元融资,https://36kr.com/p/5146019.html,据TheInformation报道，阿里正为饿了么寻求30亿美元融资。预计投后估值达到250亿美元。阿里巴巴将饿了么视为新零售扩展的关键一环，此次融资是为了让饿了么有更多资金投入外卖大战。若消息为实，这将是饿了么并入阿里体系后的第一轮融资。
2018-07-31 08:00:29,“款多多”完成 1.6 亿 C 轮融资,https://36kr.com/p/5145743.html,36氪获悉，中国珠宝首饰供应链平台“款多多”于2018年5月完成1.6亿元C轮融资，本轮融资由力合创投领投，中和资本以及部分老股东跟投。据了解，本轮融资将用于布局新零售、大数据服务和供应链能力持续升级。
2018-07-27 19:19:35,饿了么回应将承接星巴克外卖配送业务：未来将有更大想象空间,,36氪讯，针对媒体报道称饿了么将承接星巴克外卖配送业务，饿了么方面回应36氪称：星巴克和阿里巴巴一直是长期战略合作伙伴，包括上海烘焙工坊在内，双方在新零售新技术共创上一直在取得成果，未来双方基于新零售的探索将有更大的想象空间。
2018-07-26 10:57:27,中宠股份3100万投资云宠智能布局新零售,,"36氪讯，烟台中宠食品股份有限公司发布公告称，公司拟向滁州云宠智能科技有限公司增资人民币3,100万元。据中宠股份公告显示，中宠股份以现金方式对云宠智能增资人民币3100万元，占股31.4980%。据测算，云宠智能投后估值约1亿元人民币，主要开展宠物产品新零售业务。"
2018-07-25 17:07:43,果小美总裁殷志华离职,https://36kr.com/p/5144995.html,36氪从多个信源处独家了解到，番茄便利创始人、果小美总裁殷志华已经于近日离职。有知情人士称，殷志华离开果小美之后不排除会继续创业，“有可能还是在新零售领域”，不过还有说法是，殷志华也有可能加入新型便利店领域的某头部玩家。据悉，和他一起离开的还有原番茄便利的另一个高管杨泽川。对此，果小美官方回应，不予置评。
2018-07-25 15:20:07,海带宣布对外放开自主研发的新零售服务平台,https://www.iyiou.com/breaking/17920,母婴新零售服务平台海带发布了“双十赋能”计划，并宣布对外开放海带自主研发的行业新零售服务平台及商业数据平台，并通过补贴的方式，使海带会员、品牌方、上下游供应商可以免费试用最新版的SaaS软件。（亿欧）
2018-07-24 16:03:23,外媒：阿里“新零售”战略正在超越电子商务,http://tech.huanqiu.com/internet/2018-07/12563052.html,在外媒看来，阿里巴巴对于未来零售业的愿景：一是线上和线下的无界限融合；二是通过增强现实、人工智能、人脸识别等技术来提升消费者的购物体验。而阿里巴巴也正在建立一个围绕消费者、卖家、服务提供商和内容提供商的数字服务生态系统，同时通过“新零售”来实现这一目标，而不再是单纯依靠电子商务业务。（环球网）
2018-07-23 12:25:17,Tiffany在伦敦开设首家Style Studio新零售概念店,http://luxe.co/post/85667,美国珠宝公司Tiffany&Co在伦敦开设了其首家StyleStudio新零售概念店。Tiffany希望StyleStudio能让前来消费的顾客放松身心，为他们带来沉浸式体验，将传统的奢侈品的高冷印象抛在脑后。这里的员工虽然被要求穿着黑色服装，但并不需要穿着正装。（华丽志）
2018-07-23 10:35:38,新零售智能化解决方案提供商晴雨智能（AIBUY）获1.5亿A轮融资,http://36kr.com/p/5144617.html,36氪获悉，新零售智能化解决方案提供商晴雨智能（AIBUY）宣布完成1.5亿A轮融资。本次融资由分众传媒同程旅游、玖富集团以及多家投资机构联合投资。截止目前，AIBUY已经在全国铺设了近500台智能设备，累计销售各类饮品超百万杯。
2018-07-23 07:32:06,主业切换，果小美线上谋新生,http://www.bbtnews.com.cn/2018/0722/254151.shtml,近日，无人货架头部企业之一果小美上线了“宝贝仓”业务，整体模式接近微商，而跟原来无人货架主营业务关联不大。果小美相关负责人表示，目前货架还在运营，但已经全力做线上业务。新零售专家分析认为，无人货架下半场的趋势确实要加码线上，但果小美的新模式创新性不大，仍面临强大市场竞争，转型效果难预料。（北京商报）
2018-07-20 17:56:58,雷军：希望10年内将小米武汉总部建设成上万人公司,https://mp.weixin.qq.com/s/eLurvBnD1CP5oetjRmPM6w,小米CEO雷军在到访武汉时表示，希望十年内把武汉总部建设成上万人的公司。雷军透露，小米、金山、顺为等“雷军系”计划在武汉全面建设小米（武汉）总部、金山（武汉）总部、顺为（武汉）总部，落地新零售、人工智能、海外业务等，设立小米长江产业基金，积极引进或培育小米生态链企业，打造智能硬件和互联网产业生态环境。（雷帝触网）
2018-07-20 12:53:33,百威英博与阿里零售通达成战略合作,http://www.linkshop.com.cn/web/archives/2018/406380.shtml,36氪讯，阿里零售通与百威英博正式签署全国合作框架协议。百威英博啤酒将与阿里零售通一起探讨在实仓、虚仓模式下的全面对接、运作。通过本次合作，百威英博啤酒将融入阿里巴巴新零售体系，建立数据化的管理系统，扩大在线下零售小店的市场份额。双方还将达成在餐饮渠道、夜场渠道的合作，创新“新零售”营销模式。
2018-07-19 14:08:42,“型博士”获千万级天使轮融资,https://www.iyiou.com/breaking/17698,运动营养品牌“型博士”宣布获得由青鸟体育和乐刻体育的千万级天使轮融资。“型博士”将采用新零售的商业模式，开发打造一套自有的分润制电商新零售销售体系。（亿欧）
2018-07-18 18:57:38,阿里巴巴及其关联方150亿元战略入股分众传媒,http://www.szse.cn/disclosure/listed/bulletinDetail/index.html?28636b83-8baa-4451-ad4b-adfa47032b8f,36氪讯，分众传媒发布公告：阿里巴巴集团及其关联方将以约150亿元人民币战略入股分众。双方将共同探索新零售大趋势下数字营销的模式创新。
2018-07-18 17:00:11,秉坤科技完成9000万元B轮融资，阿里巴巴领投,http://36kr.com/p/5143873.html,36氪获悉，上海秉坤于近日完成9000万元B轮融资。本轮投资由阿里巴巴领投，秉坤早期投资机构远瞻资本跟投。截至目前，秉坤已累计获得融资超过1.1亿元人民币。本轮融资后，秉坤重点投入新产品研发和新零售运营服务，吸引优秀人才加盟，为客户提供更有价值的服务。
2018-07-18 15:40:37,乐融将参与《王者荣耀》和《刺激战场》电竞赛事运营,http://www.egsea.com/news/detail?id=267972,乐融CEO刘淑青介绍了乐融的战略方向，未来乐融将打通场景（居家、社区、文旅等）、平台（智能家居、智慧社区、新零售、智慧生活全场景营销等）和终端（Letv超级电视、语音中控等）。乐融将继续开放超级电视平台，也将参与到《王者荣耀》和《刺激战场》的电竞赛事运营。（证券时报·e公司）
2018-07-17 21:13:21,商用餐厨具新零售平台“集餐厨”完成数千万元PreA轮融资,http://www.lieyunwang.com/archives/445369,集餐厨已完成数千万元PreA轮融资，投资方为梅花天使、星瀚资本、和财基金及上市公司银都餐饮设备公司。此次融资后，集餐厨将进一步优化供应链，升级和迭代团队，发展自有品牌，拓展全国市场。（猎云网）
2018-07-16 18:37:06,饿了么世界杯期间送出1亿份夜宵，夜宵环比增幅达30%,,36氪讯，饿了么宣布，在俄罗斯世界杯举行的32天里共送出1亿份夜宵。据统计，世界杯期间饿了么夜宵交易额环比增幅达30%。啤酒小龙虾成为最热夜宵单品，零食、水果和日用等新零售订单增幅达40%。
2018-07-15 11:00:22,"百威与天猫开始新零售合作，将上市""大数据酿的啤酒""",http://finance.sina.com.cn/stock/usstock/c/2018-07-15/doc-ihfhfwmv7572041.shtml,7月14日，百威宣布正式与天猫酒水新零售达成战略合作，旗下鹅岛、拳击猫等精酿啤酒品牌也将加入酒水新零售大军。双方合作将围绕精酿啤酒文化教育、大数据酿酒、打通线上线下渠道、精酿啤酒深度分销展开。
2018-07-12 19:08:04,上交所召开上市公司座谈会,https://mp.weixin.qq.com/s/6XA6olwtvLNS4nbPy3aJ3Q,36氪讯，7月11日，上交所召开上市公司座谈会。座谈会邀请了具有行业代表性的10家沪市公司，既有金融、房地产、化工等传统行业公司，也有新零售、新能源电池等新兴行业、新业态公司。会议听取了上市公司对近期经济形势、行业发展、中美贸易争端，以及维护资本市场稳健运行的意见和看法。
2018-07-12 16:50:15,天猫“双11”迎来十周年，猫晚从“开场哨”升级“开场秀”,,36氪讯，“天猫双11狂欢夜”发布会在杭州举行，天猫总裁靖捷表示：过去十年是中国商业大爆发的十年，2018年适逢天猫双11全球狂欢节十周年，新零售和全球化，将会成为今年双11的两个核心关键词。作为“开场哨”的天猫双11晚会也将在今年全面升级。
2018-07-12 15:26:22,凸赞获千万级人民币Pre-A轮融资,http://36kr.com/p/5142545.html,36氪获悉，小程序行业解决方案提供商「凸赞」完成Pre-A轮千万级人民币融资，投资方为中美创投。本轮融资后，凸赞将继续为更多餐饮商家搭建小程序SaaS平台，并联合各大配送平台解决配送问题。目前，凸赞的业务专注于餐饮和新零售领域。
